scramble,orientation,cross,pair_fr,pair_fl,pair_bl,pair_br,oll,pll,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,U2 B' D' F2 L R,U L F' U' F L',R B' R' B U,B' U' F U F' U B,U' L' R' U' L U R,U' B U' F U B' F' U2,R2 D R' U2 R D' R' U2 R',48
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F2 D' B2 F' R',U F' U2 B' U B F,U',U2 L2 B L2 B' U2,U2 R' F U2 F' U2 R,U2 F U R U R' F' L' U' L U2,L F2 L B2 L' F2 L B2 L2,46
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L B2 D B R,L' U2 L U R U R',U2 B U2 B',L' U2 L2 U' L' U',U B L2 F U F' U' L2 B',D2 U F D2 B' L2 B D U' F2 D',B' R2 B' L2 B R2 B' L2 B2,51
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L' R' D B' D B F',L' U' L R U R',U B U' B' U,L B2 F2 D2 R D2 B2 F2,D2 L' U2 B' U B U L D2,R' D2 B2 U2 L' U' B2 D2 U F2 U',R F' D2 F R' U2 R F' D2 F R' U2,58
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L' F' U' F2 D2 L F',U' B2 R2 B2 R2,U' B' R B R',L' U2 L U2 B' U' B,L2 U R' U' L2 U R U',F R' F R' B2 L' D' L B2 R2 F2 U',U' B' U F U' B U F',52
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,L' D' B2 F' L D2,U2 R2 U R U' R2,U B U' B',L' D2 F' L F L' D2 L2,D2 F2 R' F' R F' D2,F' D' B2 D F D' B2 D,F R B R' F' R B' R',47
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,D2 B' U2 R B L',F2 U' F' U F2,U' B' L' B2 L B,L' B L D L' D' B',R F2 R' B2 R F2 R' B2,F2 R' F' R' B U B' U' R2 U F',B2 L2 B R2 B' L2 B R2 B,52
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,R' U F' L D2 F',R U' R2 D2 L' D2 R,R' F U' F' R,B' U F U F' U B,R2 F R U2 R U R2 F' R2 U,L D' U2 B' L B D U' F U' L' F',U' B' U F U' B U F',55
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,R' D' R' B L2 D',L' R U' L R',L R' U L' R,B L2 B' L2 B' U B U',B2 U B2 U B2 U2 B2 U,B D' B2 R' U R U B2 D L' B',U' B' U F U' B U F',51
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,U F2 L2 B F R,U L2 F2 L2 F2,B L' U' B' L,D' B' U2 B D,L' D U B' U B D' L U2,L' U R' F D R' B R D' R F' L,R F' D2 F R' U2 R F' D2 F R' U2,54
