scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
D2 L B' L F R' U2 L2 F2 U2 L2 R' D' B' U B' U' R2 U' L D R2 L',x2,L D2 U R' B F' D' B2,U' L2 U F2 U2 L2,U2 L U' F2 U F2 U2 L',B2 L' D' B2 R B' R' D B2 L U' B',,U M2 U' M' U2 M U' M2 U',43
D F' L' U2 R2 F' L U' L' F' L' F2 U2 R2 U2 D B F2 R B' D2,x2,L F2 U B' D2 B2,L2 U' L2 U' F2 L F2,L R2 U' L2 D' L U R2,B2 L' D' B2 R B' R' D B2 L U' B' U,,M2 U2 M U2 M' U M2 U',42
L2 F' U B' F U B2 F' D' F L' F2 L2 R2 B R L' D' F R,x2,D2 L U' R B2 U' L B,F2 L' U2 L2 U F2,L U2 L' D2 L U' L' D2,U2 R' F' L F R F' L' F,,U2 M' U2 M U' M2 U M2,39
U' F2 U2 B D2 L F L' F L2 F U D2 L' B' D' R L2 F' D2 U2,x2,U B L F' U' B2 L D2,L' U' R U L R',D2 R' U L U' B2 F2 R U' L',L2 B2 R' D2 R B2 L' F2 L',,M2 U M' U2 M U' M' U2 M',42
D R L' D2 F' L F R D2 F2 R' D' R U F2 L' R U' B2 R,x2,U' B R D2 R2 F2 D' B',B2 D2 R2 D' R' D' B2,R U2 L U' L2 F2 L U2 R' D2,L F2 L B2 R' D2 R B2 L2,,U2 M' U2 M' U' M' U2 M' U',43
B2 D' L U' F2 L2 R U' D F2 R' D2 B2 F' U' L' F L R2 D' B2 D',x2,D B2 U L D' B U2 R,U2 L' U L2 F2 U' L,R U L U' L' R',B2 D' B U2 B' D B2 U B' U B,,M' U2 M' U M' U2 M U2 M2 U,42
U2 D' B R2 B' R D B2 D2 R B L R F B2 R B' U2 R2 B F D B,x2,D R' F' L F2 D2 L,U2 F2 L' U' L' F2,U' F' D' L U2 L' D U2 F,R U' L2 U' R D R' U L2 U R',,U' M' U2 M U' M' U2 M U2,42
R D2 F B2 U' L' U R L' U' D' F R' B D L' D' L' R2 B,x2,U B L D U' R2 B' R',U R U' R B2 D2 R2,U R U2 L R' U F2 U L',L' B U2 B' L B L' U2 L B' U',,U2 M2 U' M U2 M U2 M2 U' M2,45
F' B2 U' D2 B D F2 B U2 F' D' U2 B2 R' D B2 U' B2 R' B,x2,F L' F L2 B' U' B' L,R2 B2 D2 B2 R2,D2 R U R2 U L U' B2 R F2 L',L F2 D' L2 U L2 D F2 L' U,,M2 U2 M U2 M' U M2 U M U2 M',45
L' F2 B U' B' R2 B U' D' R2 D' B F' R2 L U2 R2 L2 B' R L2 F' R2 U' B',x2,B' F U2 L U' R2 F',L2 R2 D' R' U R' U2 L2,U' L F2 U2 B U' F2 U B' L',U' L' U B' D B' U B D' B U' L,,M2 U M' U2 M2 U2 M U',45
F2 R F B2 D' B2 R L B' L R F' R D F D' L D2 R F R',x2,U' L' F U R F',U L F2 U' L U L2,L U2 F2 U' F2 U L',U L F2 L B2 R' D2 R B2 L2 U',,M U2 M' U' M U2 M' U,39
D2 R B2 L2 F2 B' R B' R2 F D' U' L2 D B' U2 F2 D F2 U' R' D',x2,B' D' L' R F2 U2 F' R,U L U F2 L U F2 L2,B' U B D2 B' U' B D2,B U' F' U B' U' F U,,U M2 U M' U2 M U' M U2 M U',43
R B D U R F' D2 B2 U' L' R' U F2 R L' U2 F B' R' F2 U2 L,x2,B' U R' U' L D' B' R F,R U' B2 R' F2 L2 U F2,U2 L D2 B2 U' B2 D2 L',B' R' B L' B' R B L U2,,U' M' U2 M' U' M U2 M U2,43
F L B2 L' F' D' U2 F B U D2 L2 R D' L' U2 D F2 U' L' F' R',x2,D' F' U' L D2 B L' R' D2,L2 U2 L2,L R U L' U' L R' U L',L' U2 R U' L U R2 F2 R,,U' M' U2 M U M U2 M',38
U F2 U2 D L2 D' R2 U' B' F L2 U2 D' B2 F L R2 U2 F' D,x2,U' B L B' D' F' U2 B',F2 U2 L2 F2,R' B2 L U L' U' R' U2 R2,B U2 B2 U' B2 U B2 U2 B' U2,,U2 M2 U M' U2 M' U M' U2 M,41
U2 L' D2 F' R' F' R U B2 F' U L R B' D' L F L2 R U2 D F2 B U2,x2,F2 U' L2 R D U2 B F',L R' D L2 D L2 R F2,U R U' L U2 L' B2 U' R',R B2 U' B2 U' B2 U B2 R' U,,U2 M2 U' M U2 M U2 M2 U' M2,45
R' D B' U D' R U' F2 D' L2 U' R2 D2 B2 F U F U F L',x2,L R D B' U' B' L' R',D' L U L' D,D2 L2 D' L' U L2 D L D2,U2 B' U2 B U R B' U B U' R',,U M2 U' M U2 M U2,40
B D2 L' U' D R' L' D B' L D F2 R2 L2 F U F2 B2 U F' R F' R' B D2,x2,L B U2 B R U B' F',R B2 L2 D L2 D' U2 R',L2 F2 D F2 R F2 R' D' L2,B U2 B' U' L' B U' B' U L U2,,M2 U2 M U2 M' U' M2 U,44
F' D2 B D R2 L D F2 D U2 R2 U' R U' L' B' F U L2 R2 D R B2 R' U2,x2,F2 D2 R' D' B' L2 U2 R,F2 U2 L U' L2 F2,F' R B2 R' F U L U' L',B' R2 D2 L' F' L D2 R' B R' U',,M U2 M U' M U2 M' U M2,43
B2 D2 L2 R2 U2 B' R' D' L U' L R2 B F' D' U' R' B2 F2 D' U2 F' B' R F',x2,D2 B' U2 L2 D' B F' L B2,R U' R B2 R D R,L D' U' L' U' L D U L',R U' L2 U' R D2 R' U L2 U R',,U2 M2 U M U2 M' U2 M2 U,45
