scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,L' F2 R' B R2,U' B D' B U R2 D L2,R' F L B' D2 B F' R',L2 D L' R' B R' B' L R2 D' L2,R B2 L R B2 R2 B' U2 B L2 F L,L2 B' U' B U2 F' L2 F L2 U' B L2 B',57
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,F' U' L F D' B2 D2,B2 R' B' D' B' L2,B R F' U2 R' F D B',L2 B' D' F D B F' L2,B' L2 D R D' L2 R' B2 D L' D2 L D' B',L2 B' U' B U2 F' L2 F L2 U' B L2 B',56
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,R D F2 R U,U2 L' B D2 B' U2 L',F2 D' U2 B2 D U2 L F2,B R D R2 F' R' F R2 D' R' B',R2 B D L2 D' B2 F2 U B F' U2 F' R2,,44
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,L U2 L2 R' B U,U' B D2 B' F' U,D2 L2 B2 L2 B2 L2 D2,D' B R F D F' R' F D' B' F',D B2 R' B R D2 B D' R D' R' B D',,43
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,L' R2 F2 R' U',R D2 L' B R' B' D2 L',B D' R F' U F' U F2 R' B',D R' D' B' D B R2 F' R' F,B2 F' L2 U R' B' R' B R2 U' L2 B2 F,,46
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,U2 L2 U2 B R2 U,D2 U B2 D B' D F U',R' F' R' U B' U2 B U F R,D2 B R' B' D2 R' D R' D' R2,B D2 F U' F2 R' D R D2 F2 U B' L' F',,48
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,F2 L' D' B2 D' R F',B2 R' B2 U F' U' L',B' F D L' F' L B L',B2 D2 B' D2 B' U2 L2 F L2 U2,B' F' R' F' U2 B2 L' B' L B' U2 B F2,,45
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,F D2 L2 F U' B',D' L R' F' R D F,B' F D' B' L B2 F L2 F2,R' D R2 D' R D R D' R2,B2 R D' R' B2 U' F L B F' D' B' U,,44
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L F' R B' D',R' U' F' U F' R F,B2 R B D' B F2 L2 F2 R,D2 R' D' R D' B D2 R' D2 R B',B2 D' R2 D' B2 U F2 U2 L2 U' F2 U2,,44
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,F' D L' U R2 F',D R2 F' D2 F D R',B F' D' R2 U2 R2 D B' F,D' R' D2 R2 F' R' F R' D R,L2 R2 F L' B' U' R' U' R B L U F' L2 R2,,47
